robot,t,center_distance,inflated_clearance,active_flag
robot1,1783864766.0786567,0.5036124487150636,0.2536124487150636,0.0
robot1,1783864766.572716,0.5036124487150636,0.2536124487150636,0.0
robot1,1783864767.163928,0.5040328656682653,0.25403286566826533,0.0
robot1,1783864767.637407,0.5056438499658077,0.2556438499658077,0.0
robot1,1783864768.105158,0.5056438499658077,0.2556438499658077,0.0
robot1,1783864768.6017842,0.5056438499658077,0.2556438499658077,0.0
robot1,1783864769.1196601,0.5056438499658077,0.2556438499658077,0.0
robot1,1783864769.6072936,0.5073191820579893,0.2573191820579893,0.0
robot1,1783864770.1261587,0.5191936591692647,0.26919365916926474,0.0
robot1,1783864770.6378372,0.5271439919678287,0.2771439919678287,0.0
robot1,1783864771.130598,0.527059911115744,0.277059911115744,0.0
robot1,1783864771.6054213,0.5276762760259986,0.27767627602599865,0.0
robot1,1783864772.099303,0.5303123083692115,0.2803123083692115,0.0
robot1,1783864772.5691116,0.5406697855403648,0.2906697855403648,0.0
robot1,1783864773.0666237,0.5510275502069159,0.30102755020691585,0.0
robot1,1783864773.6773407,0.5620760773596208,0.31207607735962084,0.0
robot1,1783864774.1823964,0.5663785195217531,0.3163785195217531,0.0
robot1,1783864774.6782625,0.5663785195217531,0.3163785195217531,0.0
robot1,1783864775.1946943,0.5667392058017223,0.3167392058017223,0.0
robot1,1783864775.6625829,0.5702182345251017,0.3202182345251017,0.0
robot1,1783864776.1379704,0.5702182345251017,0.3202182345251017,0.0
robot1,1783864776.6479971,0.5702182345251017,0.3202182345251017,0.0
robot1,1783864777.1591775,0.5740450758434761,0.3240450758434761,0.0
robot1,1783864777.6614964,0.5765830509707881,0.3265830509707881,0.0
robot1,1783864778.1639528,0.5765830509707881,0.3265830509707881,0.0
robot1,1783864778.646974,0.5765830509707881,0.3265830509707881,0.0
robot1,1783864779.119962,0.5762212737535122,0.3262212737535122,0.0
robot1,1783864779.6442134,0.5684602535659516,0.31846025356595165,0.0
robot1,1783864780.258279,0.5610784474353705,0.3110784474353705,0.0
robot1,1783864780.7487018,0.5610784474353705,0.3110784474353705,0.0
robot1,1783864781.2476087,0.5610784474353705,0.3110784474353705,0.0
robot1,1783864781.7555785,0.5610784474353705,0.3110784474353705,0.0
robot1,1783864782.2443962,0.5537969436456722,0.3037969436456722,0.0
robot1,1783864782.7200093,0.5417052627609338,0.2917052627609338,0.0
robot1,1783864783.1884766,0.5335751295432507,0.2835751295432507,0.0
robot1,1783864783.6834347,0.5328223237394352,0.28282232373943517,0.0
robot1,1783864784.1786401,0.5350759714778492,0.28507597147784924,0.0
robot1,1783864784.6717064,0.5377423726671802,0.28774237266718017,0.0
robot1,1783864785.1609519,0.5422146875887207,0.2922146875887207,0.0
robot1,1783864785.6469195,0.5511281258753805,0.3011281258753805,0.0
robot1,1783864786.1445796,0.5587773252785216,0.30877732527852164,0.0
robot1,1783864786.7622964,0.5630692780845308,0.3130692780845308,0.0
robot1,1783864787.2550821,0.5642314022346524,0.3142314022346524,0.0
robot1,1783864787.7449665,0.5638428045569321,0.31384280455693214,0.0
robot1,1783864788.2993727,0.5609518353691395,0.3109518353691395,0.0
robot1,1783864788.8088813,0.5575678904177894,0.3075678904177894,0.0
robot1,1783864789.323865,0.5575678904177894,0.3075678904177894,0.0
robot1,1783864789.7938154,0.557023046598609,0.307023046598609,0.0
robot1,1783864790.303583,0.5445923901581683,0.2945923901581683,0.0
robot1,1783864790.7967646,0.5353076350794359,0.2853076350794359,0.0
robot1,1783864791.2884958,0.5298399542835631,0.2798399542835631,0.0
robot1,1783864791.7798731,0.5322612278640401,0.28226122786404007,0.0
robot1,1783864792.3087006,0.5389761267958502,0.28897612679585016,0.0
robot1,1783864792.8062925,0.5449959648125965,0.2949959648125965,0.0
robot1,1783864793.3009791,0.5449959648125965,0.2949959648125965,0.0
robot1,1783864793.925557,0.5451969006549882,0.29519690065498816,0.0
robot1,1783864794.423735,0.5484363829537412,0.2984363829537412,0.0
robot1,1783864794.9391692,0.5484363829537412,0.2984363829537412,0.0
robot1,1783864795.44596,0.5486334120490893,0.29863341204908933,0.0
robot1,1783864795.9565265,0.5486334120490893,0.29863341204908933,0.0
robot1,1783864796.4584105,0.5490278141283379,0.2990278141283379,0.0
robot1,1783864797.1910446,0.5601387606126468,0.3101387606126468,0.0
robot1,1783864797.7197852,0.5622792250799624,0.3122792250799624,0.0
robot1,1783864798.3362086,0.5622792250799624,0.3122792250799624,0.0
robot1,1783864798.9481623,0.5622792250799624,0.3122792250799624,0.0
robot1,1783864799.4665637,0.5622792250799624,0.3122792250799624,0.0
robot1,1783864799.970416,0.5622792250799624,0.3122792250799624,0.0
robot1,1783864800.4658692,0.5622792250799624,0.3122792250799624,0.0
robot1,1783864801.0627007,0.5626630315506768,0.31266303155067676,0.0
robot1,1783864801.5739467,0.5668787236186892,0.3168787236186892,0.0
robot1,1783864802.0694137,0.5668787236186892,0.3168787236186892,0.0
robot1,1783864802.5631115,0.5668787236186892,0.3168787236186892,0.0
robot1,1783864803.0547745,0.5716851759817936,0.3216851759817936,0.0
robot1,1783864803.5452762,0.5805879658607012,0.33058796586070116,0.0
robot1,1783864804.0374985,0.587597789659344,0.33759778965934395,0.0
robot1,1783864804.5523026,0.59445613632856,0.34445613632856,0.0
robot1,1783864805.0680532,0.5983645507093498,0.3483645507093498,0.0
robot1,1783864805.5843008,0.6012335841847493,0.35123358418474926,0.0
robot1,1783864806.0766096,0.6012335841847493,0.35123358418474926,0.0
robot1,1783864806.5783975,0.598401358043504,0.34840135804350403,0.0
robot1,1783864807.0580645,0.5907446722588648,0.34074467225886484,0.0
robot1,1783864807.6477766,0.5802340222731673,0.33023402227316734,0.0
robot1,1783864808.1210659,0.5764566507275081,0.32645665072750807,0.0
robot1,1783864808.5893223,0.576385192164571,0.32638519216457096,0.0
robot1,1783864809.0602655,0.576385192164571,0.32638519216457096,0.0
robot1,1783864809.557015,0.5786391644322796,0.3286391644322796,0.0
robot1,1783864810.0456662,0.58530680182048,0.33530680182048,0.0
robot1,1783864810.5581548,0.5946878228529046,0.34468782285290456,0.0
robot1,1783864811.0763237,0.6039656062615996,0.35396560626159956,0.0
robot1,1783864811.604367,0.6093517949633438,0.3593517949633438,0.0
robot1,1783864812.1183832,0.6093517949633438,0.3593517949633438,0.0
robot1,1783864812.634624,0.6093517949633438,0.3593517949633438,0.0
robot1,1783864813.128962,0.6092445237856445,0.35924452378564453,0.0
robot1,1783864813.6405647,0.6092445237856445,0.35924452378564453,0.0
robot1,1783864814.2536325,0.609351173172554,0.35935117317255405,0.0
robot1,1783864814.7401593,0.6094588320122635,0.3594588320122635,0.0
robot1,1783864815.2353146,0.6094588320122635,0.3594588320122635,0.0
robot1,1783864815.7053204,0.6094588320122635,0.3594588320122635,0.0
robot1,1783864816.2819142,0.6053656631650447,0.3553656631650447,0.0
robot1,1783864816.7787623,0.6035060886436354,0.3535060886436354,0.0
robot1,1783864817.2726872,0.6035060886436354,0.3535060886436354,0.0
robot1,1783864817.7597167,0.6035060886436354,0.3535060886436354,0.0
robot1,1783864818.2422688,0.6075493610778103,0.3575493610778103,0.0
robot1,1783864818.7578905,0.616141873374606,0.366141873374606,0.0
robot1,1783864819.2764893,0.6256610915117289,0.3756610915117289,0.0
robot1,1783864819.7688236,0.6333623028493692,0.38336230284936923,0.0
robot1,1783864820.3015466,0.6332302023502857,0.3832302023502857,0.0
robot1,1783864820.7913404,0.6330995752699601,0.3830995752699601,0.0
robot1,1783864821.3984172,0.6330995752699601,0.3830995752699601,0.0
robot1,1783864821.8717852,0.6332952302894626,0.38329523028946255,0.0
robot1,1783864822.3752773,0.6332952302894626,0.38329523028946255,0.0
robot1,1783864822.8783696,0.6332952302894626,0.38329523028946255,0.0
robot1,1783864823.3637617,0.6332952302894626,0.38329523028946255,0.0
robot1,1783864823.8588915,0.6332952302894626,0.38329523028946255,0.0
robot1,1783864824.3516936,0.6332952302894626,0.38329523028946255,0.0
robot1,1783864824.8418481,0.6334278584536411,0.38342785845364113,0.0
robot1,1783864825.3312316,0.6351689700053146,0.3851689700053146,0.0
robot1,1783864825.8250542,0.6385116257197302,0.3885116257197302,0.0
robot1,1783864826.3450112,0.6527996703191653,0.4027996703191653,0.0
robot1,1783864826.848948,0.6623084104420167,0.4123084104420167,0.0
robot1,1783864827.3614688,0.6623084104420167,0.4123084104420167,0.0
robot1,1783864827.9348779,0.6621477977466235,0.41214779774662347,0.0
