t,robot1_x,robot1_y,robot2_x,robot2_y,distance,distance_minus_d_safe
1783819703.4156475,1.5507286698067475,-0.4599203833915607,0.7101022853385632,0.2422232351635457,1.0952891761273413,0.4452891761273413
1783819703.4172385,1.5507286698067475,-0.4599203833915607,0.7101022853385632,0.2422232351635457,1.0952891761273413,0.4452891761273413
1783819703.4172747,1.5507286698067475,-0.4599203833915607,0.7101022853385632,0.2422232351635457,1.0952891761273413,0.4452891761273413
1783819703.4173207,1.5507286698067475,-0.4599203833915607,0.7101022853385632,0.2422232351635457,1.0952891761273413,0.4452891761273413
1783819703.499484,1.5510983841844013,-0.4563667706423047,0.7101022853385632,0.2422232351635457,1.09329887701659,0.4432988770165899
1783819703.5004458,1.5510983841844013,-0.4563667706423047,0.7097325710535527,0.2386696211321162,1.0913166439655084,0.4413166439655084
1783819703.501115,1.5510983841844013,-0.4563667706423047,0.7097325710535527,0.2386696211321162,1.0913166439655084,0.4413166439655084
1783819703.5017135,1.5510983841844013,-0.4563667706423047,0.7097325710535527,0.2386696211321162,1.0913166439655084,0.4413166439655084
1783819703.5017438,1.5510983841844013,-0.4563667706423047,0.7097325710535527,0.2386696211321162,1.0913166439655084,0.4413166439655084
1783819703.501914,1.5510983841844013,-0.4563667706423047,0.7097325710535527,0.2386696211321162,1.0913166439655084,0.4413166439655084
1783819703.50236,1.5510983841844013,-0.4563667706423047,0.7097325710535527,0.2386696211321162,1.0913166439655084,0.4413166439655084
1783819703.652648,1.5510983841844013,-0.4563667706423047,0.7097325710535527,0.2386696211321162,1.0913166439655084,0.4413166439655084
1783819703.6540403,1.5510983841844013,-0.4563667706423047,0.7097325710535527,0.2386696211321162,1.0913166439655084,0.4413166439655084
1783819703.654053,1.5510983841844013,-0.4563667706423047,0.7097325710535527,0.2386696211321162,1.0913166439655084,0.4413166439655084
1783819703.654056,1.5510983841844013,-0.4563667706423047,0.7097325710535527,0.2386696211321162,1.0913166439655084,0.4413166439655084
1783819703.6987402,1.5513881316189213,-0.45273960311880607,0.7097325710535527,0.2386696211321162,1.0892340418890087,0.4392340418890087
1783819703.6990643,1.5513881316189213,-0.45273960311880607,0.7094428237526623,0.23504245241066363,1.0871596282728457,0.4371596282728457
1783819703.6995153,1.5513881316189213,-0.45273960311880607,0.7094428237526623,0.23504245241066363,1.0871596282728457,0.4371596282728457
1783819703.6998324,1.5513881316189213,-0.45273960311880607,0.7094428237526623,0.23504245241066363,1.0871596282728457,0.4371596282728457
1783819703.6999874,1.5513881316189213,-0.45273960311880607,0.7094428237526623,0.23504245241066363,1.0871596282728457,0.4371596282728457
1783819703.7006063,1.5513881316189213,-0.45273960311880607,0.7094428237526623,0.23504245241066363,1.0871596282728457,0.4371596282728457
1783819703.700635,1.5513881316189213,-0.45273960311880607,0.7094428237526623,0.23504245241066363,1.0871596282728457,0.4371596282728457
1783819703.8313518,1.5513881316189213,-0.45273960311880607,0.7094428237526623,0.23504245241066363,1.0871596282728457,0.4371596282728457
1783819703.8318083,1.5513881316189213,-0.45273960311880607,0.7094428237526623,0.23504245241066363,1.0871596282728457,0.4371596282728457
1783819703.8318188,1.5513881316189213,-0.45273960311880607,0.7094428237526623,0.23504245241066363,1.0871596282728457,0.4371596282728457
1783819703.8318222,1.5513881316189213,-0.45273960311880607,0.7094428237526623,0.23504245241066363,1.0871596282728457,0.4371596282728457
1783819703.9006758,1.551595918949562,-0.44901129654121325,0.7094428237526623,0.23504245241066363,1.084966067305718,0.43496606730571796
1783819703.9018717,1.551595918949562,-0.44901129654121325,0.7092350366084617,0.231314144968918,1.0827809392783159,0.43278093927831585
1783819703.9031794,1.551595918949562,-0.44901129654121325,0.7092350366084617,0.231314144968918,1.0827809392783159,0.43278093927831585
1783819703.9038644,1.551595918949562,-0.44901129654121325,0.7092350366084617,0.231314144968918,1.0827809392783159,0.43278093927831585
1783819703.904623,1.551595918949562,-0.44901129654121325,0.7092350366084617,0.231314144968918,1.0827809392783159,0.43278093927831585
1783819703.904632,1.551595918949562,-0.44901129654121325,0.7092350366084617,0.231314144968918,1.0827809392783159,0.43278093927831585
1783819703.9046364,1.551595918949562,-0.44901129654121325,0.7092350366084617,0.231314144968918,1.0827809392783159,0.43278093927831585
1783819704.0292442,1.551595918949562,-0.44901129654121325,0.7092350366084617,0.231314144968918,1.0827809392783159,0.43278093927831585
1783819704.0300546,1.551595918949562,-0.44901129654121325,0.7092350366084617,0.231314144968918,1.0827809392783159,0.43278093927831585
1783819704.0300639,1.551595918949562,-0.44901129654121325,0.7092350366084617,0.231314144968918,1.0827809392783159,0.43278093927831585
1783819704.0300667,1.551595918949562,-0.44901129654121325,0.7092350366084617,0.231314144968918,1.0827809392783159,0.43278093927831585
1783819704.1001894,1.5517161612082302,-0.4452147176160677,0.7092350366084617,0.231314144968918,1.080493288834977,0.43049328883497695
1783819704.1002173,1.5517161612082302,-0.4452147176160677,0.7091147945721309,0.227517565531847,1.078214166038653,0.42821416603865303
1783819704.1010423,1.5517161612082302,-0.4452147176160677,0.7091147945721309,0.227517565531847,1.078214166038653,0.42821416603865303
1783819704.1016152,1.5517161612082302,-0.4452147176160677,0.7091147945721309,0.227517565531847,1.078214166038653,0.42821416603865303
1783819704.1016552,1.5517161612082302,-0.4452147176160677,0.7091147945721309,0.227517565531847,1.078214166038653,0.42821416603865303
1783819704.1016603,1.5517161612082302,-0.4452147176160677,0.7091147945721309,0.227517565531847,1.078214166038653,0.42821416603865303
1783819704.1033027,1.5517161612082302,-0.4452147176160677,0.7091147945721309,0.227517565531847,1.078214166038653,0.42821416603865303
1783819704.2050498,1.5517161612082302,-0.4452147176160677,0.7091147945721309,0.227517565531847,1.078214166038653,0.42821416603865303
1783819704.206044,1.5517161612082302,-0.4452147176160677,0.7091147945721309,0.227517565531847,1.078214166038653,0.42821416603865303
1783819704.206057,1.5517161612082302,-0.4452147176160677,0.7091147945721309,0.227517565531847,1.078214166038653,0.42821416603865303
1783819704.2060604,1.5517161612082302,-0.4452147176160677,0.7091147945721309,0.227517565531847,1.078214166038653,0.42821416603865303
1783819704.2990112,1.5517460667540717,-0.441322337501644,0.7091147945721309,0.227517565531847,1.0758133094309652,0.4258133094309652
1783819704.2992518,1.5517460667540717,-0.441322337501644,0.7090848892693016,0.22362518516472818,1.0734211978250499,0.42342119782504983
1783819704.2999988,1.5517460667540717,-0.441322337501644,0.7090848892693016,0.22362518516472818,1.0734211978250499,0.42342119782504983
1783819704.300308,1.5517460667540717,-0.441322337501644,0.7090848892693016,0.22362518516472818,1.0734211978250499,0.42342119782504983
1783819704.3004026,1.5517460667540717,-0.441322337501644,0.7090848892693016,0.22362518516472818,1.0734211978250499,0.42342119782504983
1783819704.3005228,1.5517460667540717,-0.441322337501644,0.7090848892693016,0.22362518516472818,1.0734211978250499,0.42342119782504983
1783819704.3008077,1.5517460667540717,-0.441322337501644,0.7090848892693016,0.22362518516472818,1.0734211978250499,0.42342119782504983
1783819704.4093988,1.5517460667540717,-0.441322337501644,0.7090848892693016,0.22362518516472818,1.0734211978250499,0.42342119782504983
1783819704.4095592,1.5517460667540717,-0.441322337501644,0.7090848892693016,0.22362518516472818,1.0734211978250499,0.42342119782504983
1783819704.4097004,1.5517460667540717,-0.441322337501644,0.7090848892693016,0.22362518516472818,1.0734211978250499,0.42342119782504983
1783819704.4098232,1.5517460667540717,-0.441322337501644,0.7090848892693016,0.22362518516472818,1.0734211978250499,0.42342119782504983
1783819704.5002618,1.5516813340845823,-0.437353758982126,0.7090848892693016,0.22362518516472818,1.070916398894349,0.42091639889434906
1783819704.5009518,1.5516813340845823,-0.437353758982126,0.7091496221902387,0.21965660651959257,1.0684204724378483,0.4184204724378483
1783819704.5016432,1.5516813340845823,-0.437353758982126,0.7091496221902387,0.21965660651959257,1.0684204724378483,0.4184204724378483
1783819704.5017986,1.5516813340845823,-0.437353758982126,0.7091496221902387,0.21965660651959257,1.0684204724378483,0.4184204724378483
1783819704.5019622,1.5516813340845823,-0.437353758982126,0.7091496221902387,0.21965660651959257,1.0684204724378483,0.4184204724378483
1783819704.5019739,1.5516813340845823,-0.437353758982126,0.7091496221902387,0.21965660651959257,1.0684204724378483,0.4184204724378483
1783819704.5026627,1.5516813340845823,-0.437353758982126,0.7091496221902387,0.21965660651959257,1.0684204724378483,0.4184204724378483
1783819704.632449,1.5516813340845823,-0.437353758982126,0.7091496221902387,0.21965660651959257,1.0684204724378483,0.4184204724378483
1783819704.6324766,1.5516813340845823,-0.437353758982126,0.7091496221902387,0.21965660651959257,1.0684204724378483,0.4184204724378483
1783819704.6324873,1.5516813340845823,-0.437353758982126,0.7091496221902387,0.21965660651959257,1.0684204724378483,0.4184204724378483
