robot,t,center_distance,inflated_clearance,active_flag
robot1,1783819681.7020066,0.5164144160715438,0.2664144160715438,0.0
robot1,1783819681.9000661,0.5166562565147428,0.2666562565147428,0.0
robot1,1783819682.1008263,0.5168326704991792,0.26683267049917925,0.0
robot1,1783819682.2998796,0.5169446403741558,0.2669446403741558,0.0
robot1,1783819682.4994264,0.5169913219080825,0.2669913219080825,0.0
robot1,1783819682.6998513,0.5169729748698355,0.2669729748698355,0.0
robot1,1783819682.8999186,0.5168896174958842,0.26688961749588425,0.0
robot1,1783819683.099772,0.5167410990089785,0.26674109900897847,0.0
robot1,1783819683.299391,0.5165277289748756,0.26652772897487564,0.0
robot1,1783819683.4994385,0.516249353877602,0.26624935387760196,0.0
robot1,1783819683.7013347,0.5159061407054887,0.2659061407054887,0.0
robot1,1783819683.8997993,0.5155008966111568,0.26550089661115683,0.0
robot1,1783819684.1017892,0.5150560012415635,0.2650560012415635,0.0
robot1,1783819684.2991958,0.5146014073947962,0.2646014073947962,0.0
robot1,1783819684.500027,0.5141593067214313,0.2641593067214313,0.0
robot1,1783819684.7000406,0.5137393570871204,0.2637393570871204,0.0
robot1,1783819684.9006171,0.5133467591195573,0.2633467591195573,0.0
robot1,1783819685.1001577,0.512984572782976,0.26298457278297604,0.0
robot1,1783819685.3002648,0.5126528368158907,0.2626528368158907,0.0
robot1,1783819685.499894,0.5123520387577438,0.2623520387577438,0.0
robot1,1783819685.7004356,0.5120827748601199,0.2620827748601199,0.0
robot1,1783819685.9013078,0.511844786150138,0.26184478615013795,0.0
robot1,1783819686.1009884,0.5116376437389639,0.2616376437389639,0.0
robot1,1783819686.3011477,0.5114620415721701,0.2614620415721701,0.0
robot1,1783819686.50307,0.5113175118190783,0.26131751181907825,0.0
robot1,1783819686.7015676,0.5112042028605073,0.2612042028605073,0.0
robot1,1783819686.9008086,0.5111223608585199,0.2611223608585199,0.0
robot1,1783819687.1015863,0.5110717124378791,0.2610717124378791,0.0
robot1,1783819687.300284,0.5110523815591856,0.26105238155918564,0.0
robot1,1783819687.5003712,0.5110643815138746,0.26106438151387457,0.0
robot1,1783819687.6991947,0.5111075889595476,0.26110758895954755,0.0
robot1,1783819687.9051373,0.5111823209854968,0.26118232098549676,0.0
robot1,1783819688.1005814,0.511288081496277,0.261288081496277,0.0
robot1,1783819688.301866,0.5114252970634119,0.2614252970634119,0.0
robot1,1783819688.501925,0.5115939404680176,0.26159394046801765,0.0
robot1,1783819688.7004075,0.5117930524759297,0.26179305247592966,0.0
robot1,1783819688.9034152,0.512024547633487,0.26202454763348704,0.0
robot1,1783819689.1015034,0.5122861558644316,0.2622861558644316,0.0
robot1,1783819689.299447,0.5125804895759489,0.2625804895759489,0.0
robot1,1783819689.5012474,0.5129034633051157,0.2629034633051157,0.0
robot1,1783819689.7026916,0.5132583320263119,0.2632583320263119,0.0
robot1,1783819689.9001813,0.5136435106058709,0.2636435106058709,0.0
robot1,1783819690.1013803,0.5140602546098578,0.2640602546098578,0.0
robot1,1783819690.3018253,0.5145079882746133,0.2645079882746133,0.0
robot1,1783819690.4997451,0.514985657623129,0.264985657623129,0.0
robot1,1783819690.7004182,0.5154944031246486,0.26549440312464856,0.0
robot1,1783819690.9078526,0.5160341861757703,0.26603418617577035,0.0
robot1,1783819691.1398118,0.5160341861757703,0.26603418617577035,0.0
robot1,1783819691.3020723,0.5172033143226282,0.2672033143226282,0.0
robot1,1783819691.500182,0.517833333315878,0.267833333315878,0.0
robot1,1783819691.705916,0.5184952964607474,0.26849529646074743,0.0
robot1,1783819691.9008193,0.519183928927948,0.26918392892794796,0.0
robot1,1783819692.0999076,0.5199040392345071,0.2699040392345071,0.0
robot1,1783819692.3023221,0.5206539964701503,0.2706539964701503,0.0
robot1,1783819692.5041826,0.521432856738407,0.271432856738407,0.0
robot1,1783819692.699825,0.5222426166266266,0.27224261662662663,0.0
robot1,1783819692.8998563,0.5230818219472471,0.27308182194724706,0.0
robot1,1783819693.1004956,0.523948817649986,0.273948817649986,0.0
robot1,1783819693.301903,0.5248446665852883,0.2748446665852883,0.0
robot1,1783819693.50145,0.5257700373457825,0.27577003734578254,0.0
robot1,1783819693.7015996,0.5267245277954549,0.27672452779545487,0.0
robot1,1783819693.8997157,0.5277068433307586,0.27770684333075857,0.0
robot1,1783819694.0997188,0.5287179776917773,0.2787179776917773,0.0
robot1,1783819694.3007371,0.5297575390378794,0.27975753903787937,0.0
robot1,1783819694.50108,0.5308250674626871,0.2808250674626871,0.0
robot1,1783819694.6997092,0.5319204898043596,0.2819204898043596,0.0
robot1,1783819694.899695,0.5330437644778485,0.2830437644778485,0.0
robot1,1783819695.1027892,0.5341949477925604,0.2841949477925604,0.0
robot1,1783819695.3016548,0.5353763168794311,0.2853763168794311,0.0
robot1,1783819695.5002542,0.5365791666257043,0.28657916662570426,0.0
robot1,1783819695.6999702,0.5378119357323397,0.28781193573233965,0.0
robot1,1783819695.902966,0.539070478280271,0.289070478280271,0.0
robot1,1783819696.1008272,0.5403584924044044,0.29035849240440437,0.0
robot1,1783819696.3015773,0.5416709949360684,0.2916709949360684,0.0
robot1,1783819696.5007894,0.5430088082899701,0.2930088082899701,0.0
robot1,1783819696.7017949,0.5443734343356168,0.2943734343356168,0.0
robot1,1783819696.9013333,0.5457659380402518,0.29576593804025175,0.0
robot1,1783819697.09971,0.5471815523428355,0.2971815523428355,0.0
robot1,1783819697.303193,0.5486244187501068,0.2986244187501068,0.0
robot1,1783819697.4993594,0.5500905140821968,0.3000905140821968,0.0
robot1,1783819697.6994596,0.5515773691027367,0.3015773691027367,0.0
